,topic_sum,choice_sum,all_sum
740,0.19165999999999997,1.8,1.4959600000000004
530,1.258089999999999,0.16,1.1998199999999992
1000,0.025,0.93,0.8874799999999999
380,0.12499,0.21166666666666667,0.3111016666666666
430,2.24582,1.835,3.4582400000000013
260,0.55,0.39,1.1999199999999997
1090,0.5166199999999999,1.635,2.0626100000000003
590,0.2958199999999999,0.111,0.47208949999999994
820,0.029160000000000005,1.585,1.3917500000000005
1050,0.02083,2.105,2.1791199999999997
560,0.6249199999999998,0.04,0.4902766666666667
750,0.5791299999999999,0.325,1.4331899999999995
670,0.67914,0.48,1.59994
210,0.6292700000000003,0.325,0.6209300000000003
1070,0.04166,1.27,1.25834
790,1.024769999999999,0.305,1.5331199999999994
350,0.14583000000000002,0.06,0.30698666666666674
1080,0.25415999999999994,0.8,0.9749599999999999
770,0.17914000000000002,2.315,1.7291199999999998
440,2.0166199999999996,1.49,2.5998600000000005
870,0.05833,0.305,0.3708400000000001
760,0.5456899999999996,1.605,1.14993
920,0.21665999999999996,1.23,1.0792200000000003
