,topic_sum,choice_sum,all_sum
740,0.0,0.0,0.0
530,0.0,0.0,0.0
1000,0.0,0.0,0.0
380,0.0,0.0,0.0
430,2.083,0.5,2.5
260,0.0,0.0,0.0
1090,0.417,0.0,0.417
590,0.833,0.0,0.833
820,2.083,0.0,2.083
1050,0.0,1.0,0.833
560,0.0,0.0,0.0
750,0.0,0.0,0.0
670,0.0,0.0,0.0
210,0.0,0.0,0.0
1070,0.0,1.0,0.833
790,0.0,0.0,0.0
350,0.0,0.0,0.0
1080,0.0,0.0,0.0
770,0.0,0.0,0.0
440,1.667,0.0,1.667
870,2.083,0.0,2.083
760,2.083,0.0,2.083
920,0.0,0.0,0.0
