,P-V,Q-R,U-Y,S,T,W,X,Z
acc,0.9130434782608695,0.7391304347826086,0.9130434782608695,1.0,0.9565217391304348,0.9130434782608695,0.8695652173913043,0.9565217391304348
pre,0.8336483931947068,0.6047430830039525,0.8336483931947068,1.0,1.0,0.8336483931947068,0.7561436672967864,0.967391304347826
rec,0.9130434782608695,0.7391304347826086,0.9130434782608695,1.0,0.9565217391304348,0.9130434782608695,0.8695652173913043,0.9565217391304348
f1s,0.8715415019762844,0.6652173913043478,0.8715415019762844,1.0,0.9777777777777777,0.8715415019762844,0.8088978766430739,0.9589260669204568
