,topic extension with the same content,topic extension with clear new context,topic extension under the previous direction,repeat and no topic extension,no topic extension and stop the topic at this point,overall tone choice: very formal,overall tone choice: quite formal and some expressions are not that formal,"overall tone choice: relatively not formal, most expressions are quite informal",overall tone choice: very informal,"overall tone choice: quite informal, but some expressions are still formal"
acc,0.9565217391304348,0.9130434782608695,0.9565217391304348,0.9565217391304348,1.0,1.0,0.8260869565217391,0.9565217391304348,0.8695652173913043,0.8695652173913043
pre,0.9149338374291116,0.9130434782608695,0.9149338374291116,0.9149338374291116,1.0,1.0,0.6824196597353497,0.9149338374291116,0.7561436672967864,0.7561436672967864
rec,0.9565217391304348,0.9130434782608695,0.9565217391304348,0.9565217391304348,1.0,1.0,0.8260869565217391,0.9565217391304348,0.8695652173913043,0.8695652173913043
f1s,0.9352657004830917,0.9130434782608695,0.9352657004830917,0.9352657004830917,1.0,1.0,0.7474120082815735,0.9352657004830917,0.8088978766430739,0.8088978766430739
